Lake,Species,Code,Group,Class,Depth,d13C,d15N,%C,%N,C/N
Vuontis,brown trout,07VBT3,Pisc,Fish,NA,-24.7,9.4,47.2,13.2,3.6
Vuontis,brown trout,07VBT4,Pisc,Fish,NA,-25.8,9.6,47.2,13.6,3.5
Vuontis,brown trout,07VBT5,Pisc,Fish,NA,-25.4,8.7,46.5,13.3,3.5
Vuontis,brown trout,07VBT6,Pisc,Fish,NA,-26,9.6,43.8,12.4,3.5
Vuontis,brown trout,07VBT7,Pisc,Fish,NA,-25.5,8.9,46.6,13.1,3.6
Vuontis,brown trout,07VBT8,Pisc,Fish,NA,-24.5,8.7,47.8,13.8,3.5
Vuontis,brown trout,07VBT9,Pisc,Fish,NA,-25.6,9.8,48.2,13.4,3.6
Vuontis,brown trout,07VBT10,Pisc,Fish,NA,-26.1,9.8,43.9,12.3,3.6
Vuontis,brown trout,07VBT11,Pisc,Fish,NA,-25,9.4,49.5,13.8,3.6
Vuontis,brown trout,07VBT12,Pisc,Fish,NA,-24.1,10.1,49.6,14,3.6
Vuontis,brown trout,07VBT13,Pisc,Fish,NA,-25.4,8.9,42.3,12,3.5
Vuontis,brown trout,07VBT14,Pisc,Fish,NA,-26.4,9.6,48,12.9,3.7
Vuontis,brown trout,07VBT15,Pisc,Fish,NA,-24.9,9.7,47.2,13.4,3.5
Vuontis,burbot,07VB1,Pisc,Fish,NA,-24,9,46.7,13.5,3.5
Vuontis,burbot,07VB2,Pisc,Fish,NA,-24.8,10.2,41.7,12.4,3.4
Vuontis,burbot,07VB3,Pisc,Fish,NA,-24,9.3,46.6,13.6,3.4
Vuontis,burbot,07VB4,Pisc,Fish,NA,-25,10.1,47.7,14,3.4
Vuontis,burbot,07VB5,Pisc,Fish,NA,-21,8.3,45.9,13.7,3.4
Vuontis,burbot,07VB6,Pisc,Fish,NA,-24.4,8.8,46.9,13.7,3.4
Vuontis,burbot,07VB7,Pisc,Fish,NA,-23.4,9.5,47,13.8,3.4
Vuontis,burbot,07VB8,Pisc,Fish,NA,-24.5,10.1,47.9,13.9,3.4
Vuontis,burbot,07VB9,Pisc,Fish,NA,-24.4,9.9,46.8,13.8,3.4
Vuontis,burbot,07VB10,Pisc,Fish,NA,-23.9,9,46.8,13.4,3.5
Vuontis,burbot,07VB11,Pisc,Fish,NA,-23.9,7.8,46.5,13.7,3.4
Vuontis,burbot,07VB12,Pisc,Fish,NA,-25.1,9.7,45.8,13.3,3.4
Vuontis,burbot,07VB13,Pisc,Fish,NA,-25,9.7,46.1,13.3,3.5
