"ID","d_13C","d_15N","d_2H","organism","location","month","tissue"
"FU-22-25-M",-30.16,6.86,-107.94,"pearl dace","creek","may","muscle"
"WD-22-64-L",-29.94,6.19,-109.99,"pearl dace","creek","may","liver"
"WD-22-64-M",-31.16,6.02,-109.29,"pearl dace","creek","may","muscle"
"WD-A22-25-L",-33.06,8.92,-152.77,"pearl dace","creek","august","liver"
"WD-A22-25-M",-31.61,8.34,-108.823831,"pearl dace","creek","august","muscle"
"WD-A22-33-M",-31.03,7.59,-110.48,"pearl dace","creek","august","muscle"
"WD-S22-201-L",-33.99,4.89,-179.12,"pearl dace","creek","october","liver"
"WD-S22-201-M",-33.76,5.55,-126.04,"pearl dace","creek","october","muscle"
"WU-22-27-M",-28.66,7.84,-114.84,"pearl dace","creek","may","muscle"
"A-22-01-L",-28.44,7.92,-124.72,"smallmouth bass","lake","may","liver"
"A-22-01-M",-27.16,8.07,-97.27,"smallmouth bass","lake","may","muscle"
"A-22-02-L",-27.82,7.19,-118.7131034,"smallmouth bass","lake","may","liver"
"A-22-02-M",-26.62,6.99,-113.86,"smallmouth bass","lake","may","muscle"
"A-22-03-L",-27.12,7.11,-113.61,"smallmouth bass","lake","may","liver"
"A-22-03-M",-26.19,7.71,-98.92,"smallmouth bass","lake","may","muscle"
"A-22-05-L",-27.59,8.05,-117.93,"smallmouth bass","lake","may","liver"
"A-22-05-M",-25.95,8.13,-99.68,"smallmouth bass","lake","may","muscle"
"A-22-06-L",-28.45,7.37,-112.47,"smallmouth bass","lake","may","liver"
"A-22-06-M",-26.96,8.11,-111.93,"smallmouth bass","lake","may","muscle"
"A-22-07-L",-29.71,7.93,-112.02,"smallmouth bass","lake","may","liver"
"A-22-07-M",-28.64,7.67,-104.96,"smallmouth bass","lake","may","muscle"
"A-22-08-L",-28.15,7.95,-117.36,"smallmouth bass","lake","may","liver"
"A-22-08-M",-26.67,7.4,-110.62,"smallmouth bass","lake","may","muscle"
